Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
19121,2017,6.13,156.60,.,.,19121,42101014800,PHILADELPHIA,PA,0.0320143719194803,0.0781671159029649,0.0308068459657701,0.0337395957193816
19128,2017,3.61,600.68,247.22,215.01,19128,42101980100,PHILADELPHIA,PA,0.00659456607755209,0.00752823086574654,0.00330851943755169,0.0064405324173465
19129,2017,4.86,553.75,268.49,236.94,19129,42101980100,PHILADELPHIA,PA,0.000714413288087158,0.00240384615384615,0.0,0.000786039930828486
19130,2017,6.01,725.09,319.48,240.85,19130,42101980000,PHILADELPHIA,PA,0.00159328695097987,0.00612870275791624,0.000370233246945575,0.00164378692967257
19131,2017,4.86,586.81,234.34,205.67,19131,42101980000,PHILADELPHIA,PA,0.00515006215592257,0.0273843248347497,0.0152091254752851,0.0064418184802232
19132,2017,-14.49,108.34,.,.,19132,42101980000,PHILADELPHIA,PA,0.00401909068073348,0.000789889415481832,0.00301204819277108,0.00378941670050074
19135,2017,10.73,401.47,192.90,204.86,19135,42101038100,PHILADELPHIA,PA,0.0171071896432149,0.203883495145631,0.0603448275862068,0.033219877467665
19136,2017,6.85,509.21,197.66,205.23,19136,42101038100,PHILADELPHIA,PA,0.000226740231275035,0.136550308008213,0.0419161676646706,0.0106759145926832
19136,2017,6.85,509.21,197.66,205.23,19136,42101980200,PHILADELPHIA,PA,0.00151160154183357,0.00102669404517453,0.0,0.00142798857609139
19137,2017,9.54,448.48,281.07,257.88,19137,42101038100,PHILADELPHIA,PA,0.0509749303621169,0.078125,0.463235294117647,0.079814385150812
19144,2017,10.60,679.09,278.78,224.51,19144,42101980100,PHILADELPHIA,PA,0.000280022401792143,0.0007168458781362,0.000790201501382852,0.000345733646798506
19152,2017,11.32,461.51,218.49,204.08,19152,42101980200,PHILADELPHIA,PA,0.000846202665538396,0.0143266475644699,0.0,0.00143257146578107
19154,2017,4.75,574.07,231.60,214.59,19154,42101036400,PHILADELPHIA,PA,0.00696091180295265,0.188547486033519,0.0830860534124629,0.0179810278918306
21201,2017,-10.92,202.98,184.45,155.68,21201,24510040200,BALTIMORE,MD,0.0772809887313704,0.0848335388409371,0.0523636363636363,0.0770914777169663
21205,2017,-19.24,184.25,.,.,21205,24510260303,BALTIMORE,MD,0.0293040293040293,0.0196413321947053,0.00584795321637426,0.0274173090057566
21209,2017,4.97,471.95,230.21,191.79,21209,24510271503,BALTIMORE,MD,0.000901374596259295,0.00366748166259168,0.00180722891566265,0.00113988981065163
21209,2017,4.97,471.95,230.21,191.79,21209,24510130805,BALTIMORE,MD,0.0461203335086006,0.0415647921760391,0.00542168674698795,0.0416059780887847
