Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0651182-06059063008,308.0,0,9.0,56.2,0.0,4.0,0.076
0651182-06059063103,308.0,0,9.0,56.2,0.0,4.0,0.076
0651182-06059063601,308.0,0,9.0,56.2,0.0,4.0,0.076
0653000-06001982000,169.0,0,7.0,56.0,0.0,0.0,0.068
0653000-06001983200,169.0,0,7.0,56.0,0.0,0.0,0.068
0653896-06071000603,361.0,0,1.0,39.2,0.0,49.0,0.118
0653896-06071001703,361.0,0,1.0,39.2,0.0,49.0,0.118
0653896-06071001903,361.0,0,1.0,39.2,0.0,49.0,0.118
0653980-06059021915,308.0,0,9.0,56.2,0.0,4.0,0.076
0653980-06059021923,308.0,0,9.0,56.2,0.0,4.0,0.076
0653980-06059075809,308.0,0,9.0,56.2,0.0,4.0,0.076
0653980-06059075810,308.0,0,9.0,56.2,0.0,4.0,0.076
0654652-06111003012,400.0,0,13.0,231.6,0.0,0.0,0.07
0654652-06111005002,400.0,0,13.0,231.6,0.0,0.0,0.07
0655156-06037910101,281.0,0,0.0,26.6,0.0,43.0,0.087
0655156-06037910709,281.0,0,0.0,26.6,0.0,43.0,0.087
0655156-06037980004,281.0,0,0.0,26.6,0.0,43.0,0.087
0656000-06037460100,274.0,0,0.0,19.2,0.0,36.0,0.1
0656000-06037460401,274.0,0,0.0,19.2,0.0,36.0,0.1
0656700-06065042719,366.0,0,1.0,38.2,0.0,112.0,0.136
0658072-06037402404,308.0,0,9.0,56.2,0.0,4.0,0.076
0658072-06037403200,308.0,0,9.0,56.2,0.0,4.0,0.076
0658072-06037403321,308.0,0,9.0,56.2,0.0,4.0,0.076
0659451-06071009202,361.0,0,1.0,39.2,0.0,49.0,0.118
0659920-06089011001,424.0,0,1.0,67.3,0.0,3.0,0.075
0659920-06089011600,424.0,0,1.0,67.3,0.0,3.0,0.075
0659920-06089011803,424.0,0,1.0,67.3,0.0,3.0,0.075
0659962-06071007200,366.0,0,1.0,38.2,0.0,112.0,0.136
0659962-06071007302,366.0,0,1.0,38.2,0.0,112.0,0.136
0659962-06071008601,366.0,0,1.0,38.2,0.0,112.0,0.136
0659962-06071008602,366.0,0,1.0,38.2,0.0,112.0,0.136
0659962-06071008706,366.0,0,1.0,38.2,0.0,112.0,0.136
0660102-06081609603,397.0,0,6.0,60.8,0.0,2.0,0.086
0660102-06081609700,397.0,0,6.0,60.8,0.0,2.0,0.086
0660466-06071003403,361.0,0,1.0,39.2,0.0,49.0,0.118
0660466-06071003606,361.0,0,1.0,39.2,0.0,49.0,0.118
0660466-06071003611,366.0,0,1.0,38.2,0.0,112.0,0.136
0660466-06071004003,366.0,0,1.0,38.2,0.0,112.0,0.136
0660466-06071004004,366.0,0,1.0,38.2,0.0,112.0,0.136
0660466-06071004302,366.0,0,1.0,38.2,0.0,112.0,0.136
0660620-06013356002,431.0,0,9.0,98.8,0.0,2.0,0.088
0660620-06013367200,431.0,0,9.0,98.8,0.0,2.0,0.088
0660620-06013386000,169.0,0,7.0,56.0,0.0,0.0,0.068
0662000-06065041409,361.0,0,1.0,39.2,0.0,49.0,0.118
0662000-06065041412,361.0,0,1.0,39.2,0.0,49.0,0.118
0662000-06065042003,366.0,0,1.0,38.2,0.0,112.0,0.136
0662000-06065042214,366.0,0,1.0,38.2,0.0,112.0,0.136
0662938-06061020605,315.0,0,0.0,28.2,0.0,9.0,0.088
0664000-06067004402,341.0,0,2.0,44.5,0.0,3.0,0.077
0664000-06067004502,341.0,0,2.0,44.5,0.0,3.0,0.077
0664000-06067004601,341.0,0,2.0,44.5,0.0,3.0,0.077
0664000-06067004701,341.0,0,2.0,44.5,0.0,3.0,0.077
0664000-06067004802,341.0,0,2.0,44.5,0.0,3.0,0.077
0664000-06067005901,341.0,0,2.0,44.5,0.0,3.0,0.077
0664224-06053000101,304.0,0,1.0,42.2,0.0,0.0,0.07
0665000-06071003803,366.0,0,1.0,38.2,0.0,112.0,0.136
0665000-06071004104,366.0,0,1.0,38.2,0.0,112.0,0.136
