Site_EPA_ID,City,County_FIPS,County,State,StateAbbr,Longitude,Latitude,EXPOSURE_SCORE,RISK_SCORE,CRSI_SCORE
CA9800013030,Pasadena,6037,Los Angeles,California,CA,-118.167434,34.201185,82.98,57.592,1.9364930703
CAD029544731,Los Angeles,6037,Los Angeles,California,CA,-118.289472,33.846639,82.98,57.592,1.9364930703
CAD042245001,Whittier,6037,Los Angeles,California,CA,-118.042222,33.969722,82.98,57.592,1.9364930703
CAD980677355,El Monte,6037,Los Angeles,California,CA,-118.0,34.125,82.98,57.592,1.9364930703
CAD980894893,Los Angeles,6037,Los Angeles,California,CA,-118.3514,34.19,82.98,57.592,1.9364930703
CAD980894976,Los Angeles,6037,Los Angeles,California,CA,-118.2539,34.112081,82.98,57.592,1.9364930703
CAD980498455,Salinas,6053,Monterey,California,CA,-121.6186,36.8026,61.419000000000004,18.698999999999998,2.2308158374
CAD980498695,Fullerton,6059,Orange,California,CA,-117.9712,33.8953,87.138,76.337,1.3166019648
CA4570024527,Riverside,6065,Riverside,California,CA,-117.2557,33.906389,56.882,45.306000000000004,3.495523773
CAD098229214,Riverside,6065,Riverside,California,CA,-117.367186,33.991886,56.882,45.306000000000004,3.495523773
CA0210020780,Sacramento,6067,Sacramento,California,CA,-121.3958,38.520281,70.099,62.595,1.9067628108
CA4570024337,Sacramento,6067,Sacramento,California,CA,-121.3994,38.66,70.099,62.595,1.9067628108
CA8570024143,Sacramento,6067,Sacramento,California,CA,-121.2972,38.55695,70.099,62.595,1.9067628108
CA2570024453,Victorville,6071,San Bernandino,California,CA,-117.3833,34.595,55.132999999999996,21.52,7.5191576955
CA4570024345,San Bernardino,6071,San Bernandino,California,CA,-117.2372,34.098061,55.132999999999996,21.52,7.5191576955
CAD981434517,San Bernardino,6071,San Bernandino,California,CA,-117.3131,34.171811,55.132999999999996,21.52,7.5191576955
CAN000905945,Rialto,6071,San Bernandino,California,CA,-117.416567,34.153683,55.132999999999996,21.52,7.5191576955
CA1170090087,San Francisco,6075,San Francisco,California,CA,-122.36732,37.72229,62.526,24.035999999999998,5.590713799
CAD009106527,Stockton,6077,San Joaquin,California,CA,-121.306635,37.947851,65.985,56.440999999999995,1.6242343326
CA2170090078,Sunnyvale,6085,Santa Clara,California,CA,-122.0522,37.411389,84.396,36.272,2.166151922
CAD001864081,Sunnyvale,6085,Santa Clara,California,CA,-122.0225,37.3787,84.396,36.272,2.166151922
CAD009103318,Mountain View,6085,Santa Clara,California,CA,-122.0882,37.3988,84.396,36.272,2.166151922
CAD009111444,Mountain View,6085,Santa Clara,California,CA,-122.0797,37.4108,84.396,36.272,2.166151922
CAD009138488,Mountain View,6085,Santa Clara,California,CA,-122.0786,37.40805,84.396,36.272,2.166151922
CAD009159088,Sunnyvale,6085,Santa Clara,California,CA,-122.0085,37.3846,84.396,36.272,2.166151922
CAD009205097,Mountain View,6085,Santa Clara,California,CA,-122.0533,37.3975,84.396,36.272,2.166151922
CAD009212838,Mountain View,6085,Santa Clara,California,CA,-122.0872,37.4165,84.396,36.272,2.166151922
CAD029295706,San Jose,6085,Santa Clara,California,CA,-121.8644,37.318611,84.396,36.272,2.166151922
CAD048634059,Sunnyvale,6085,Santa Clara,California,CA,-122.0086,37.3825,84.396,36.272,2.166151922
CAD049236201,Sunnyvale,6085,Santa Clara,California,CA,-121.9968,37.3816,84.396,36.272,2.166151922
CAD061620217,Mountain View,6085,Santa Clara,California,CA,-122.0566,37.3962,84.396,36.272,2.166151922
CAD095989778,Mountain View,6085,Santa Clara,California,CA,-122.0542,37.4012,84.396,36.272,2.166151922
CAT080034234,Sunnyvale,6085,Santa Clara,California,CA,-122.0066,37.3868,84.396,36.272,2.166151922
CAD980498612,Redding,6089,Shasta,California,CA,-122.5278,40.671669,43.339,13.415,6.4919992343
CAD063020143,Turlock,6099,Stanislaus,California,CA,-120.8239,37.4727,79.154,47.672,1.6230991974
CAD981997752,Modesto,6099,Stanislaus,California,CA,-120.9964,37.6591,79.154,47.672,1.6230991974
CAD009688052,Oxnard,6111,Ventura,California,CA,-119.181944,34.138889,70.18900000000001,38.361000000000004,3.7660852067
COD000110254,Denver,8001,Adams,Colorado,CO,-104.9989,39.8148,58.62500000000001,59.153999999999996,1.3059275461
CO0002259588,Denver,8031,Denver,Colorado,CO,-104.958333,39.791667,60.617,55.126,0.2307734791
COD007431620,Denver,8031,Denver,Colorado,CO,-104.9136,39.780831,60.617,55.126,0.2307734791
COD980716955,Denver,8031,Denver,Colorado,CO,-105.0,39.716669,60.617,55.126,0.2307734791
CON000802700,Pueblo,8101,Pueblo,Colorado,CO,-104.608,38.2491,50.388,19.900000000000002,4.6904376625
FLD980709356,Gainesville,12001,Alachua,Florida,FL,-82.323061,29.675,45.155,24.085,2.9286013026
FLD000602334,Palm Bay,12009,Brevard,Florida,FL,-80.601389,28.030281,68.814,62.233000000000004,1.5976663795
FLD004119681,Fort Lauderdale,12011,Broward,Florida,FL,-80.152219,26.198331,86.247,72.22,1.4069711704
FLD981021470,Fort Lauderdale,12011,Broward,Florida,FL,-80.1847,26.1444,86.247,72.22,1.4069711704
FLD984184127,Fort Lauderdale,12011,Broward,Florida,FL,-80.215556,26.081944,86.247,72.22,1.4069711704
FL5170022474,Jacksonville,12031,Duval,Florida,FL,-81.902777,30.23861,77.804,68.809,1.4283169249
FL6170024412,Jacksonville,12031,Duval,Florida,FL,-81.682777,30.22111,77.804,68.809,1.4283169249
FLD000623041,Jacksonville,12031,Duval,Florida,FL,-81.686394,30.354092,77.804,68.809,1.4283169249
FLD039049101,Jacksonville,12031,Duval,Florida,FL,-81.6265,30.3442,77.804,68.809,1.4283169249
FLD980556351,Jacksonville,12031,Duval,Florida,FL,-81.738889,30.368611,77.804,68.809,1.4283169249
FL0001209840,Tampa,12057,Hillsborough,Florida,FL,-82.510278,28.040556,67.16,60.404,1.7102244923
FLD000824896,Tampa,12057,Hillsborough,Florida,FL,-82.341939,27.9725,67.16,60.404,1.7102244923
FLD004091807,Tampa,12057,Hillsborough,Florida,FL,-82.3404,27.9708,67.16,60.404,1.7102244923
FLD004092532,Tampa,12057,Hillsborough,Florida,FL,-82.370556,27.963056,67.16,60.404,1.7102244923
FLD012978862,Tampa,12057,Hillsborough,Florida,FL,-82.375139,27.964083,67.16,60.404,1.7102244923
FLD053502696,Tampa,12057,Hillsborough,Florida,FL,-82.374813,27.963931,67.16,60.404,1.7102244923
FLD088787585,Tampa,12057,Hillsborough,Florida,FL,-82.355833,27.96,67.16,60.404,1.7102244923
FLD984227249,Tampa,12057,Hillsborough,Florida,FL,-82.410861,27.914417,67.16,60.404,1.7102244923
FLD004145140,Miami,12086,Miami-Dade,Florida,FL,-80.2559,25.8152,83.197,62.28399999999999,1.4651515435
FLD076027820,Miami,12086,Miami-Dade,Florida,FL,-80.313061,25.837219,83.197,62.28399999999999,1.4651515435
FLD982130098,Miami,12086,Miami-Dade,Florida,FL,-80.210178,25.831842,83.197,62.28399999999999,1.4651515435
FLD004064242,Orlando,12095,Orange,Florida,FL,-81.408889,28.578889,77.226,71.596,0.9716919905
FLD055945653,Orlando,12095,Orange,Florida,FL,-81.3,28.601389,77.226,71.596,0.9716919905
FLD042110841,Lakeland,12105,Polk,Florida,FL,-81.979167,28.039444,56.371,51.443000000000005,1.4159309327
GAD003302676,Macon,13021,Bibb,Georgia,GA,-83.639675,32.777658,58.156,53.138,0.3046051527
GAN000410033,Macon,13021,Bibb,Georgia,GA,-83.6516,32.773497,58.156,53.138,0.3046051527
GA7170023694,Albany,13095,Dougherty,Georgia,GA,-84.055,31.557219,53.876000000000005,26.852999999999998,1.1464929879
GAD042101261,Albany,13095,Dougherty,Georgia,GA,-84.181661,31.617361,53.876000000000005,26.852999999999998,1.1464929879
GAD990855074,Albany,13095,Dougherty,Georgia,GA,-84.053889,31.565831,53.876000000000005,26.852999999999998,1.1464929879
GAD033582461,Augusta,13245,Richmond,Georgia,GA,-82.036944,33.454194,69.342,59.056,0.727099259
GAN000407449,Augusta,13245,Richmond,Georgia,GA,-82.015139,33.421178,69.342,59.056,0.727099259
ILD000716852,Chicago,17031,Cook,Illinois,IL,-87.568889,41.679444,83.709,68.688,1.6407686889
ILN000505540,Chicago,17031,Cook,Illinois,IL,-87.543503,41.662606,83.709,68.688,1.6407686889
ILD000802827,Waukegan,17097,Lake,Illinois,IL,-87.821111,42.365281,73.78,62.134,2.0106875302
ILD005443544,Waukegan,17097,Lake,Illinois,IL,-87.811669,42.386669,73.78,62.134,2.0106875302
ILD980500102,Waukegan,17097,Lake,Illinois,IL,-87.848611,42.388889,73.78,62.134,2.0106875302
IL0210090049,Joliet,17197,Will,Illinois,IL,-88.0772,41.3662,88.838,77.915,2.0806084137
IL7213820460,Joliet,17197,Will,Illinois,IL,-88.1563,41.3762,88.838,77.915,2.0806084137
ILD002994259,Joliet,17197,Will,Illinois,IL,-88.172781,41.441669,88.838,77.915,2.0806084137
ILD980606685,Rockford,17201,Winnebago,Illinois,IL,-89.056661,42.158331,72.372,63.127,1.4077195714
ILD981000417,Rockford,17201,Winnebago,Illinois,IL,-89.071111,42.230689,72.372,63.127,1.4077195714
ILT180011975,Rockford,17201,Winnebago,Illinois,IL,-89.098,42.241,72.372,63.127,1.4077195714
IND980679542,Fort Wayne,18003,Allen,Indiana,IN,-85.066669,41.075,64.708,58.723000000000006,1.4735941229
IND077005916,Gary,18089,Lake,Indiana,IN,-87.426447,41.614061,88.862,77.727,1.0230036241
IND980500524,Gary,18089,Lake,Indiana,IN,-87.382231,41.570839,88.862,77.727,1.0230036241
IND980615421,Gary,18089,Lake,Indiana,IN,-87.4284,41.5895,88.862,77.727,1.0230036241
IND980679559,Gary,18089,Lake,Indiana,IN,-87.408611,41.622781,88.862,77.727,1.0230036241
IND980794432,Gary,18089,Lake,Indiana,IN,-87.429,41.5934,88.862,77.727,1.0230036241
IND000807107,Indianapolis,18097,Marion,Indiana,IN,-86.218331,39.740281,81.619,72.33800000000001,1.0092475288
INN000510399,Indianapolis,18097,Marion,Indiana,IN,-86.121667,39.834722,81.619,72.33800000000001,1.0092475288
INN000510936,Indianapolis,18097,Marion,Indiana,IN,-86.185825,39.781899,81.619,72.33800000000001,1.0092475288
IND006418651,Bloomington,18105,Monroe,Indiana,IN,-86.5612,39.1902,62.769,36.143,2.2192870148
IND980614556,Bloomington,18105,Monroe,Indiana,IN,-86.6405,39.1667,62.769,36.143,2.2192870148
IND980794341,Bloomington,18105,Monroe,Indiana,IN,-86.5598,39.1731,62.769,36.143,2.2192870148
IND980904379,South Bend,18141,St. Joseph,Indiana,IN,-86.297514,41.676581,76.44800000000001,51.334999999999994,1.5746090021
IND980997639,Lafayette,18157,Tippecanoe,Indiana,IN,-86.872219,40.456111,53.69199999999999,34.439,2.3211258424
INN000508142,Evansville,18163,Vanderburgh,Indiana,IN,-87.563989,37.979297,84.336,75.161,0.5562108314
IAD984566356,Waterloo,19013,Black Hawk,Iowa,IA,-92.326389,42.491389,63.456999999999994,48.601,2.0877950748
IA0001610963,Des Moines,19153,Polk,Iowa,IA,-93.702222,41.578333,84.758,74.619,1.7329203586
IAD980687933,Des Moines,19153,Polk,Iowa,IA,-93.636,41.5781,84.758,74.619,1.7329203586
KSD031349624,Olathe,20091,Johnson,Kansas,KS,-94.805556,38.878194,75.535,66.979,1.3536050866
LAD985169317,Lake Charles,22019,Calcasieu,Louisiana,LA,-93.219167,30.240833,75.594,46.682,2.5021501067
LAD981056997,New Orleans,22071,Orleans,Louisiana,LA,-90.040165,29.98866,87.524,69.178,0.6936225006
MDD980918387,Baltimore,24005,Baltimore,Maryland,MD,-76.517886,39.307967,76.163,49.391,1.7964910568
MDD980923783,Baltimore,24510,Baltimore city,Maryland,MD,-76.5419,39.2956,69.524,59.445,0.1848310226
MID006522791,Lansing,26065,Ingham,Michigan,MI,-84.587781,42.739439,49.836000000000006,32.835,1.9078366067
MID017188673,Lansing,26065,Ingham,Michigan,MI,-84.543331,42.749031,49.836000000000006,32.835,1.9078366067
MID980702989,Lansing,26065,Ingham,Michigan,MI,-84.535,42.760831,49.836000000000006,32.835,1.9078366067
MID000775957,Kalamazoo,26077,Kalamazoo,Michigan,MI,-85.5433,42.2545,60.568999999999996,41.005,1.5468814
MID005340088,Kalamazoo,26077,Kalamazoo,Michigan,MI,-85.5443,42.2292,60.568999999999996,41.005,1.5468814
MID006007306,Kalamazoo,26077,Kalamazoo,Michigan,MI,-85.576083,42.303333,60.568999999999996,41.005,1.5468814
MID980794382,Kalamazoo,26077,Kalamazoo,Michigan,MI,-85.567219,42.293889,60.568999999999996,41.005,1.5468814
MID017075136,Grand Rapids,26081,Kent,Michigan,MI,-85.678339,43.003331,53.796,45.042,2.2243366308
MID062222997,Grand Rapids,26081,Kent,Michigan,MI,-85.700281,42.952219,53.796,45.042,2.2243366308
MID980609341,Grand Rapids,26081,Kent,Michigan,MI,-85.590506,43.013397,53.796,45.042,2.2243366308
MID980609440,Rochester Hills,26125,Oakland,Michigan,MI,-83.0959,42.6556,67.406,55.669000000000004,1.8446507038
MSD008154486,Gulfport,28047,Harrison,Mississippi,MS,-89.089166,30.428888,71.777,75.396,0.7300680857
MOD980631139,Springfield,29077,Greene,Missouri,MO,-93.3125,37.273056,90.252,67.405,1.0338394553
MO3213890012,Independence,29095,Jackson,Missouri,MO,-94.2783,39.103,80.428,70.92500000000001,1.6035562634
MOD000829705,Kansas City,29095,Jackson,Missouri,MO,-94.4722,39.1279,80.428,70.92500000000001,1.6035562634
MTN000802850,Missoula,30063,Missoula,Montana,MT,-114.199623,46.957781,37.153999999999996,11.355,11.078535757
MT0007623052,Billings,30111,Yellowstone,Montana,MT,-108.455,45.803611,65.786,25.392,4.5390874005
NESFN0703481,Omaha,31055,Douglas,Nebraska,NE,-95.929722,41.267778,77.744,81.027,0.9289218751
NJD002144517,Newark,34013,Essex,New Jersey,NJ,-74.1452,40.7163,56.816,51.882,0.6371163808
NJD980528996,Newark,34013,Essex,New Jersey,NJ,-74.136111,40.739719,56.816,51.882,0.6371163808
NJD980755623,Newark,34013,Essex,New Jersey,NJ,-74.198242,40.698484,56.816,51.882,0.6371163808
NJSFN0204232,Newark,34013,Essex,New Jersey,NJ,-74.15908400000001,40.765722,56.816,51.882,0.6371163808
NJD980505648,Jersey City,34017,Hudson,New Jersey,NJ,-74.085561,40.734719,57.511,52.461999999999996,0.6591076022
NMD980622864,Albuquerque,35001,Bernalillo,New Mexico,NM,-106.655278,35.033333,64.539,58.10999999999999,1.9487729854
NMD980745558,Albuquerque,35001,Bernalillo,New Mexico,NM,-106.6411,35.0441,64.539,58.10999999999999,1.9487729854
NMD986668911,Albuquerque,35001,Bernalillo,New Mexico,NM,-106.640611,35.086444,64.539,58.10999999999999,1.9487729854
NM0002271286,Las Cruces,35013,Do?a Ana,New Mexico,NM,-106.76,32.315556,45.192,17.51,8.7041344877
NYD986913580,Syracuse,36067,Onondaga,New York,NY,-76.208056,43.069444,62.831,45.757,2.2249972721
NCD003149556,Asheville,37021,Buncombe,North Carolina,NC,-82.505953,35.493075,77.51400000000001,50.614000000000004,0.2687186263
NCD044440303,Concord,37025,Cabarrus,North Carolina,NC,-80.6093,35.4096,71.677,64.916,0.7039173887
NCD003188828,Fayetteville,37051,Cumberland,North Carolina,NC,-79.020839,35.04945,63.39,58.484,0.9147626226
NCD003188844,Fayetteville,37051,Cumberland,North Carolina,NC,-78.845,35.063331,63.39,58.484,0.9147626226
NC0002374445,Gastonia,37071,Gaston,North Carolina,NC,-81.189852,35.197933,82.45,68.647,0.8561341043
NCD986175644,Gastonia,37071,Gaston,North Carolina,NC,-81.218889,35.231667,82.45,68.647,0.8561341043
NCD982096653,Charlotte,37119,Mecklenburg,North Carolina,NC,-80.606806,35.228056,78.40700000000001,69.295,0.9733569916
NCD024644494,Jacksonville,37133,Onslow,North Carolina,NC,-77.3666,34.7414,50.232,38.98,1.9211171443
NCD003202603,Raleigh,37183,Wake,North Carolina,NC,-78.773611,35.901944,80.58800000000001,71.433,1.1282245153
NCD980557656,Raleigh,37183,Wake,North Carolina,NC,-78.713588,35.801816,80.58800000000001,71.433,1.1282245153
OH1170090004,Columbus,39049,Franklin,Ohio,OH,-82.887221,39.987777,74.065,66.175,1.2756486924
OH7571724312,Dayton,39057,Greene,Ohio,OH,-84.0697,39.8071,72.41499999999999,47.961,1.2796373296
OHD000382663,Dayton,39113,Montgomery,Ohio,OH,-84.16,39.833331,75.214,66.629,0.995821002
OHD093895787,Dayton,39113,Montgomery,Ohio,OH,-84.201531,39.716581,75.214,66.629,0.995821002
OHD980611875,Dayton,39113,Montgomery,Ohio,OH,-84.1525,39.78611,75.214,66.629,0.995821002
OHN000510164,Dayton,39113,Montgomery,Ohio,OH,-84.179444,39.784444,75.214,66.629,0.995821002
OK1571724391,Oklahoma City,40109,Oklahoma,Oklahoma,OK,-97.401494,35.413973,84.70299999999999,78.326,0.8679318199
ORD009020603,Portland,41051,Multnomah,Oregon,OR,-122.73944,45.579443,79.226,41.904,2.1963883489
ORSFN1002155,Portland,41051,Multnomah,Oregon,OR,-122.793056,45.615278,79.226,41.904,2.1963883489
PAD046557096,Philadelphia,42101,Philadelphia,Pennsylvania,PA,-75.027781,40.024169,56.076,50.735,0.3952679634
PASFN0305549,Philadelphia,42101,Philadelphia,Pennsylvania,PA,-75.083889,39.983194,56.076,50.735,0.3952679634
SCD003360476,North Charleston,45019,Charleston,South Carolina,SC,-79.951194,32.838056,99.0,58.57,1.9804099421
SCD980310239,Charleston,45019,Charleston,South Carolina,SC,-79.958333,32.822083,99.0,58.57,1.9804099421
SCD000622787,Columbia,45079,Richland,South Carolina,SC,-80.90875,33.885419,78.274,69.352,0.8106305117
SCD980844005,Rock Hill,45091,York,South Carolina,SC,-80.9985,34.9661,78.68,69.845,0.6991976507
SCD991279324,Rock Hill,45091,York,South Carolina,SC,-80.904169,34.851669,78.68,69.845,0.6991976507
SD2571924644,Rapid City,46093,Meade,South Dakota,SD,-103.0958,44.148061,72.02300000000001,21.160999999999998,4.3530910477
TNN000410686,Chattanooga,47065,Hamilton,Tennessee,TN,-85.300559,35.032552,93.474,83.192,0.5619867012
TND098071061,Knoxville,47093,Knox,Tennessee,TN,-83.925833,35.919444,73.983,65.727,0.4104892744
TN4210020570,Memphis,47157,Shelby,Tennessee,TN,-90.003333,35.093333,99.0,99.0,0.7189985859
TNN000402275,Memphis,47157,Shelby,Tennessee,TN,-89.945,35.115114,99.0,99.0,0.7189985859
TXD057577579,San Antonio,48029,Bexar,Texas,TX,-98.537608,29.372203,57.818000000000005,52.96300000000001,1.1557666386
TXN000606915,San Antonio,48029,Bexar,Texas,TX,-98.731875,29.430489,57.818000000000005,52.96300000000001,1.1557666386
TXD079348397,Dallas,48113,Dallas,Texas,TX,-96.8725,32.776944,94.93700000000001,84.38600000000001,1.2319881667
TXD988034328,Grand Prairie,48113,Dallas,Texas,TX,-96.963228,32.750269,94.93700000000001,84.38600000000001,1.2319881667
TXN000605240,Dallas,48113,Dallas,Texas,TX,-96.769485,32.687886,94.93700000000001,84.38600000000001,1.2319881667
TX0001407444,Odessa,48135,Ector,Texas,TX,-102.428333,31.918611,56.723,38.221,1.4586890454
TXD980867279,Odessa,48135,Ector,Texas,TX,-102.4033,31.881669,56.723,38.221,1.4586890454
TXN000606614,Odessa,48135,Ector,Texas,TX,-102.385833,31.908611,56.723,38.221,1.4586890454
TXD007330053,Longview,48183,Gregg,Texas,TX,-94.710903,32.442272,67.269,61.336,0.7852576806
TXD008083404,Houston,48201,Harris,Texas,TX,-95.331667,29.767778,86.123,75.794,1.3454243231
TXD980748453,Houston,48201,Harris,Texas,TX,-95.25,29.66,86.123,75.794,1.3454243231
TXD980810386,Houston,48201,Harris,Texas,TX,-95.347781,29.798331,86.123,75.794,1.3454243231
TXD980873327,Houston,48201,Harris,Texas,TX,-95.398611,29.678889,86.123,75.794,1.3454243231
TXD980873343,Houston,48201,Harris,Texas,TX,-95.349169,29.806669,86.123,75.794,1.3454243231
TXD990707010,Houston,48201,Harris,Texas,TX,-95.5644,29.7206,86.123,75.794,1.3454243231
TXN000605460,Houston,48201,Harris,Texas,TX,-95.584319,29.90465,86.123,75.794,1.3454243231
TXN000607093,Pasadena,48201,Harris,Texas,TX,-95.221528,29.718389,86.123,75.794,1.3454243231
TXN000606668,Odessa,48329,Midland,Texas,TX,-102.233669,31.90635,52.452,31.368000000000002,1.6595736845
TXN000606992,Midland,48329,Midland,Texas,TX,-102.094921,31.964129,52.452,31.368000000000002,1.6595736845
TX0000605264,Corpus Christi,48355,Nueces,Texas,TX,-97.508606,27.815372,60.282000000000004,46.478,2.5177304443
TX7572024605,Fort Worth,48439,Tarrant,Texas,TX,-97.45,32.777781,76.8,68.26,1.4060615268
UT0571724350,Ogden,49011,Davis,Utah,UT,-111.955,41.128331,80.686,71.133,1.3570195225
UTD000716399,Salt Lake City,49035,Salt Lake,Utah,UT,-111.8747,40.7226,85.49799999999999,77.491,1.5731948839
UTD980667240,Salt Lake City,49035,Salt Lake,Utah,UT,-111.9055,40.7704,85.49799999999999,77.491,1.5731948839
UTD980718670,Salt Lake City,49035,Salt Lake,Utah,UT,-111.9436,40.7474,85.49799999999999,77.491,1.5731948839
UTD981548985,Salt Lake City,49035,Salt Lake,Utah,UT,-111.848022,40.753938,85.49799999999999,77.491,1.5731948839
UT9210020922,Ogden,49057,Weber,Utah,UT,-112.0,41.266669,67.83200000000001,56.879999999999995,1.6798351175
VA2800005033,Hampton,51650,Hampton city,Virginia,VA,-76.358611,37.069999,69.69300000000001,57.632000000000005,1.1030467339
VA6170061463,Norfolk,51710,Norfolk city,Virginia,VA,-76.300278,36.940278,62.878,52.324000000000005,0.5967316968
VA1170024813,Portsmouth,51740,Portsmouth city,Virginia,VA,-76.294722,36.821944,70.768,66.759,0.2099335038
VAD980551683,Portsmouth,51740,Portsmouth city,Virginia,VA,-76.3045,36.8265,70.768,66.759,0.2099335038
VAD990710410,Portsmouth,51740,Portsmouth city,Virginia,VA,-76.299,36.8065,70.768,66.759,0.2099335038
VAN000306115,Portsmouth,51740,Portsmouth city,Virginia,VA,-76.308822,36.809464,70.768,66.759,0.2099335038
VAD123933426,Suffolk,51800,Suffolk city,Virginia,VA,-76.434722,36.899722,66.29599999999999,55.694,1.4399998897
WAD009624453,Vancouver,53011,Clark,Washington,WA,-122.621667,45.677222,58.748999999999995,44.722,1.5901370293
WA0002329803,Seattle,53033,King,Washington,WA,-122.29285,47.510081,76.241,52.70399999999999,3.3283611098
WAD009248287,Seattle,53033,King,Washington,WA,-122.366667,47.582332,76.241,52.70399999999999,3.3283611098
WAD009249210,Renton,53033,King,Washington,WA,-122.1964,47.488889,76.241,52.70399999999999,3.3283611098
WAD009487513,Kent,53033,King,Washington,WA,-122.2417,47.425,76.241,52.70399999999999,3.3283611098
WAD980638910,Kent,53033,King,Washington,WA,-122.2933,47.38,76.241,52.70399999999999,3.3283611098
WAD980639215,Renton,53033,King,Washington,WA,-122.2,47.533333,76.241,52.70399999999999,3.3283611098
WAD980639462,Kent,53033,King,Washington,WA,-122.2792,47.391669,76.241,52.70399999999999,3.3283611098
WAD980722839,Seattle,53033,King,Washington,WA,-122.3522,47.5794,76.241,52.70399999999999,3.3283611098
WAN001002655,Seattle,53033,King,Washington,WA,-122.3625,47.583889,76.241,52.70399999999999,3.3283611098
WAD980726301,Tacoma,53053,Pierce,Washington,WA,-122.4714,47.229439,72.94699999999999,57.057,2.3915584382
WAD980833065,Tacoma,53053,Pierce,Washington,WA,-122.5267,47.125,72.94699999999999,57.057,2.3915584382
WAD000641548,Spokane,53063,Spokane,Washington,WA,-117.3626,47.7297,46.785,27.163999999999998,4.5928603684
WAD001865450,Spokane,53063,Spokane,Washington,WA,-117.3441,47.6729,46.785,27.163999999999998,4.5928603684
WAD980511778,Spokane,53063,Spokane,Washington,WA,-117.4828,47.7275,46.785,27.163999999999998,4.5928603684
WAD980514541,Spokane,53063,Spokane,Washington,WA,-117.3483,47.861669,46.785,27.163999999999998,4.5928603684
WAD000643577,Yakima,53077,Yakima,Washington,WA,-120.4933,46.566669,52.654,17.442,7.8225209329
WI0001954841,Green Bay,55009,Brown,Wisconsin,WI,-88.0015,44.5331,65.292,58.718,2.0720846325
WID039052626,Milwaukee,55079,Milwaukee,Wisconsin,WI,-88.0417,43.1772,68.523,36.299,2.4100539369
WID083290981,Appleton,55087,Outagamie,Wisconsin,WI,-88.43,44.25555,59.396,55.767999999999994,2.6253522618
WY5571924179,Cheyenne,56021,Laramie,Wyoming,WY,-104.8622,41.156669,46.367999999999995,17.09,4.8678195653
