tract,HPI
6037980010,315.09
6037980014,950.37
6037980015,979.58
6037980019,.
6037980024,1600.21
6037980033,807.50
6053000101,932.01
6059001503,1257.74
6059011712,1204.10
6059011714,1158.45
6059021915,1249.58
6059021923,433.55
6059052404,.
6059063008,975.53
6059063101,975.53
6059063103,975.53
6059063601,991.81
6059075403,891.54
6059075504,1263.98
6059075603,1263.98
6059075806,1249.58
6059075809,406.98
6059075810,406.98
6059075813,406.98
6059075902,1231.25
6059076000,945.80
6059086701,1185.84
6059087503,853.70
6059087602,853.70
6059087703,1074.26
6059087806,1074.26
6059087902,872.46
6059088104,872.46
6059088402,853.70
6059088901,859.63
6059088904,859.63
6059099203,992.75
6059099702,528.90
6059099703,528.90
6059110201,1383.95
6061020605,988.69
6065041409,681.76
6065041412,681.76
6065041909,498.01
6065041910,231.37
6065042003,725.25
6065042214,683.11
6065042716,635.50
6065042719,477.58
6065043235,305.46
6065043247,475.17
6065043308,443.25
6065043310,443.25
6065045215,438.26
6065045226,304.56
6065045606,438.26
6065050500,337.80
6065050700,305.46
6065051200,337.38
6067004402,788.42
6067004502,600.20
6067004601,788.42
6067004701,598.43
6067004802,598.43
6067005901,833.62
6067008130,730.12
6067009325,727.62
6071000107,963.67
6071000115,963.67
6071000603,963.67
6071001703,963.67
6071001704,963.67
6071001903,963.67
6071002204,879.76
6071002501,1049.24
6071003403,517.97
6071003606,517.97
6071003611,630.76
6071003803,630.76
6071004003,663.20
6071004004,663.20
6071004104,520.19
6071004302,630.76
6071006402,298.87
6071007200,713.60
6071007302,684.98
6071007409,585.34
6071007601,585.34
6071008601,713.60
6071008602,899.26
6071008706,899.26
6071009117,251.69
6071009119,251.69
6071009202,944.58
6071009708,471.53
6071010004,263.45
6071010009,593.04
6071010802,737.51
6071011002,737.51
6071012101,471.53
6073003207,892.86
6073005500,181.70
6073006200,181.70
6073009901,1229.78
6073010103,957.83
6073015403,1043.65
6073016503,923.63
6073016616,913.66
6073016807,942.69
6073016809,923.63
6073017006,913.51
6073017107,1522.89
6073017110,737.17
6073017306,1603.76
6073019208,897.59
6073019805,818.34
6073019903,897.59
6073020013,633.38
6073020019,633.38
6073020309,873.27
6073020401,737.17
6073020710,962.58
6075980200,1880.19
6075980300,1880.19
6075980501,2096.40
6075980600,1533.85
6075980900,1623.04
6077002402,450.90
6077003700,621.24
6077003803,684.64
6077005119,782.28
6077005131,782.28
6081606900,1733.88
6081609603,1991.19
6081609700,1747.86
6083000103,1657.46
6083001402,479.73
6083002013,832.90
6083003007,1657.46
6085502001,1717.53
6085502603,2481.43
6085502604,2481.43
6085504101,1635.13
6085504201,1954.80
6085504417,1954.80
6085504601,2255.97
6085505900,2494.23
6085506701,2481.43
6085507807,2258.43
6085508101,2039.95
6085510001,2375.50
6085512100,1913.70
6089011001,447.61
6089011600,349.10
6089011803,349.10
6095252104,778.60
6099000402,802.99
6099000501,637.60
6099002402,456.52
6099002501,660.19
6099003603,879.11
6111001302,1309.74
6111003012,899.21
6111005002,899.21
8001008100,535.91
8001008541,585.15
8001008551,585.15
8001009001,499.52
8001009307,547.35
8001009502,547.35
8001009606,547.35
8001015000,499.52
8001060000,391.25
8001061200,391.25
8005005612,865.34
8005006815,846.53
8005006854,763.49
8005006855,846.53
8005081700,462.79
8005083700,462.79
8005085800,462.79
8005085900,644.11
8005086300,323.90
8013012705,1112.12
8013012707,787.46
8013012710,832.40
8031001902,531.50
8035013901,632.21
8041003400,640.03
8041005104,286.81
8041006700,640.03
8041007500,327.71
8041007601,96.48
8059009843,805.17
8059010100,805.17
8059010208,812.76
8059011721,862.68
8069000300,1001.88
8069002010,903.37
8069002501,908.23
8101000903,434.90
8123000704,563.94
8123000705,563.94
12001001400,227.37
12001001701,310.00
12001001802,282.16
12001001908,282.16
12001002219,339.40
12001110800,333.43
12009064128,265.46
12009065021,364.25
12009065231,250.71
12009065236,250.71
12011020205,305.13
12011041100,533.81
12011042900,510.16
12011050207,390.91
12011050208,390.91
12011050308,533.81
12011060122,587.62
12011060125,462.60
12011061100,509.73
12011070321,323.20
12011070401,630.34
12011070402,630.34
12011080402,510.16
12011110327,814.18
12011110404,631.28
12011110600,687.62
12031013906,730.38
12057004000,328.93
12057010809,420.42
12057011010,506.96
12057011014,186.66
12057011205,506.96
12057011304,486.02
12057011802,316.14
12057011902,396.81
12057011904,316.14
12057011905,457.18
12057012001,336.58
12057012002,267.67
12071010305,403.95
12073002206,415.67
12073002207,421.93
12073002208,415.67
12073002416,421.93
12073002508,402.13
12073002511,450.40
12073002512,450.40
12073002603,181.55
12086000414,408.36
12086001002,479.12
12086001004,479.12
12086001502,440.92
12086001703,310.70
12086001801,440.92
12086981000,.
12095012000,286.62
12095012500,794.12
12095013201,289.61
12095013402,289.61
12095013508,265.61
12095013511,265.61
12095013607,422.37
12095013803,722.55
12095014000,722.55
12095014400,722.55
12095014811,414.35
12095014813,414.35
12095015300,992.81
12095015402,992.81
12095016709,265.61
12095016732,355.79
12099001002,390.55
12099001402,390.55
12099005411,497.63
12099005810,287.58
12099005812,389.68
12099006602,837.89
12099007002,627.14
12099007616,718.64
12099007831,382.54
12103024505,549.61
12103024507,549.61
12103024510,397.46
12103024804,603.69
12103025205,513.12
12103025401,609.84
12103025411,294.54
12103025412,549.61
12103025501,609.84
12103025505,609.84
12103025506,609.84
12103026820,476.85
12103026911,584.93
12103026912,584.93
12105011834,395.57
12105011836,395.57
12105011902,256.43
12105011911,256.43
12105012001,358.77
12105012113,358.77
12111382010,340.58
13021010300,259.83
13021013407,268.31
13021013408,268.31
13021013410,268.31
13051010101,461.44
13051010502,316.51
13051010807,220.16
13089023700,626.82
13095010403,269.86
13095010900,160.93
13121002600,185.54
13121004800,593.00
13121008101,430.88
13121009802,833.38
13121010002,819.99
13121010114,819.99
13153020106,239.61
13153020108,239.61
13153021103,268.02
13153021201,285.13
13169030104,205.86
13225040102,171.69
13245001500,127.92
15003001901,490.53
15003003200,880.74
15003003407,880.74
15003003900,782.15
15003006600,888.22
15003007303,949.20
15003007506,949.20
15003008611,416.49
15003008613,416.49
15003980200,888.22
15003981400,888.22
16001002100,570.04
16001002412,321.00
16001010313,542.82
16001010321,542.82
16001010333,314.65
17031271800,292.12
17031280800,292.12
17031280900,292.12
17031340600,458.80
17031350400,372.50
17031351500,458.80
17031380500,458.80
17031381500,458.80
17031690500,296.62
17031770902,503.67
17031803612,580.57
17031804102,465.49
17031804606,529.41
17031804706,491.26
17031804714,405.40
17031804715,491.26
17031810400,670.25
17031841000,372.50
17043846411,519.32
17089850600,294.51
17097860600,209.47
17097861603,455.36
17097861701,196.24
17113000504,230.90
17113005400,197.05
17113006000,98.00
17115002300,147.06
17115002901,149.76
17143003402,240.77
17143003900,266.67
17143004400,253.72
17143004802,96.77
17167000700,208.75
17167002700,187.48
17167002801,200.76
17167003801,219.73
17197880310,260.05
17197880417,247.64
17197882300,393.53
17197882900,195.67
17197883100,280.12
17197883307,195.67
17201003601,160.70
17201003707,231.27
17201003710,231.27
17201003711,231.27
17201003801,288.93
18003011702,335.61
18003980001,455.93
18003980002,455.93
18035001700,153.74
18035002401,204.63
18035002500,209.64
18057110404,392.61
18089010900,102.31
18097357500,332.21
18105000502,296.74
18141011202,277.13
18141011303,252.16
18141011801,228.10
18141011900,228.10
18157010800,246.11
18163001800,242.77
18163010202,240.41
19013002604,355.62
19013003002,355.62
19103010400,386.59
19113000300,324.42
19113000500,324.42
19113000600,324.42
19153010500,344.98
19153011028,370.48
19193003300,291.61
20045001500,549.78
20091051700,642.41
20091052201,447.97
20091053801,410.80
20173006600,352.65
20173010111,291.60
20173010116,231.14
20177003301,339.57
20177003400,339.57
20177003901,98.49
20209040300,355.05
20209040800,355.05
20209041800,196.76
20209042501,134.18
20209043000,294.24
20209044004,254.59
21067003916,198.51
21111010001,615.86
21111010004,494.69
21111010005,501.99
21111010006,501.99
21111010007,494.69
21111010008,494.69
21111010312,338.28
21111010601,615.86
21111010701,494.69
21111010705,501.99
21111011112,510.87
21111011403,334.88
21111012802,400.72
22015010400,228.03
22015010801,228.03
22017024102,246.39
22017024304,185.74
22017024503,187.39
22017025406,187.39
22019001700,273.49
22033003201,249.06
22033003507,245.27
22033004011,657.27
22055001402,239.12
22055001411,239.12
22055001903,234.36
22055001905,255.50
22071000601,270.77
22071000701,412.87
22071000901,412.87
22071000902,412.87
22071000903,412.87
22071000904,412.87
22071001500,412.87
22071001730,222.77
22071001734,187.17
22071001751,276.87
22071002100,412.87
22071006900,300.07
22071008600,300.07
22071013600,412.87
22071013800,470.54
22071014300,638.50
24510040200,202.98
24510130805,471.95
24510180200,226.90
24510260303,224.91
24510271503,810.42
25025980101,550.39
25025980300,863.89
25025981100,863.89
25025981202,759.60
25025981300,425.21
25025981800,863.89
26065003400,293.12
26065003801,426.52
26065004000,426.52
26065005202,349.11
26077000202,121.33
26081011600,410.92
26081011801,337.60
26081012605,561.46
26099982300,398.78
26125192800,421.23
26163504800,235.76
26163507800,298.09
26163510400,298.09
26163521300,157.73
26163522100,157.73
26163522200,157.73
26163532300,328.84
26163532700,328.84
26163534500,83.14
26163537200,251.31
26163542700,356.35
26163543900,356.35
26163545400,218.81
26163985100,210.19
27109000903,362.17
27109002200,372.16
27137010100,289.61
27137010200,289.61
27137010300,428.50
28047003101,237.53
28047003505,183.89
28047980000,237.53
28049010500,327.33
28089030105,169.38
29019001602,313.18
29019001702,424.54
