TractFIPS,tract,usps_zip_pref_state,usps_zip_pref_city,StateAbbr,PlaceName
37081017200,37081017200.0,NC,LIBERTY,NC,Greensboro
37081017200,37081017200.0,NC,MC LEANSVILLE,NC,Greensboro
37081017200,37081017200.0,NC,WHITSETT,NC,Greensboro
37081017200,37081017200.0,NC,GREENSBORO,NC,Greensboro
37081017200,37081017200.0,NC,GREENSBORO,NC,Greensboro
37081016201,37081016201.0,NC,COLFAX,NC,Greensboro
37081016201,37081016201.0,NC,KERNERSVILLE,NC,Greensboro
37081016201,37081016201.0,NC,OAK RIDGE,NC,Greensboro
37081016201,37081016201.0,NC,GREENSBORO,NC,Greensboro
37081016204,37081016204.0,NC,COLFAX,NC,Greensboro
37081016204,37081016204.0,NC,HIGH POINT,NC,Greensboro
37081016204,37081016204.0,NC,GREENSBORO,NC,Greensboro
37081016409,37081016409.0,NC,HIGH POINT,NC,High Point
37081016409,37081016409.0,NC,HIGH POINT,NC,High Point
37081016409,37081016409.0,NC,JAMESTOWN,NC,High Point
37057060602,37057060602.0,NC,HIGH POINT,NC,High Point
37057060602,37057060602.0,NC,THOMASVILLE,NC,High Point
37081016600,37081016600.0,NC,HIGH POINT,NC,High Point
37081016600,37081016600.0,NC,JAMESTOWN,NC,High Point
37081016600,37081016600.0,NC,GREENSBORO,NC,High Point
37081016600,37081016600.0,NC,GREENSBORO,NC,High Point
37081016408,37081016408.0,NC,JAMESTOWN,NC,High Point
37081016003,37081016003.0,NC,OAK RIDGE,NC,Greensboro
37081016003,37081016003.0,NC,SUMMERFIELD,NC,Greensboro
37081016003,37081016003.0,NC,GREENSBORO,NC,Greensboro
37081016003,37081016003.0,NC,GREENSBORO,NC,Greensboro
37183053606,37183053606.0,NC,CARY,NC,Cary
37183053606,37183053606.0,NC,CARY,NC,Cary
37183053606,37183053606.0,NC,MORRISVILLE,NC,Cary
37183054113,37183054113.0,NC,KNIGHTDALE,NC,Raleigh
37183054113,37183054113.0,NC,RALEIGH,NC,Raleigh
37183054113,37183054113.0,NC,RALEIGH,NC,Raleigh
37183054113,37183054113.0,NC,RALEIGH,NC,Raleigh
37183054210,37183054210.0,NC,ROLESVILLE,NC,Raleigh
37183054210,37183054210.0,NC,WAKE FOREST,NC,Raleigh
37183054210,37183054210.0,NC,YOUNGSVILLE,NC,Raleigh
37183054210,37183054210.0,NC,ZEBULON,NC,Raleigh
37183054210,37183054210.0,NC,RALEIGH,NC,Raleigh
37183053712,37183053712.0,NC,RALEIGH,NC,Raleigh
37183053721,37183053721.0,NC,RALEIGH,NC,Raleigh
