 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77064,2017,.,.,.,.,48201550401,HOUSTON,TX,0.00011733,0,0,0.000106191
77064,2017,.,.,.,.,48201534003,HOUSTON,TX,0.000410654,0.000658328,0,0.000424764
77064,2017,.,.,.,.,48201551400,HOUSTON,TX,0.015252845,0.082290981,0.040892193,0.021025804
77065,2017,1.39,238.35,230.81,173.21,48201541001,HOUSTON,TX,0,0.001266624,0,0.00011653
77065,2017,1.39,238.35,230.81,173.21,48201552002,HOUSTON,TX,0.037480377,0.096263458,0.050675676,0.043116005
77065,2017,1.39,238.35,230.81,173.21,48201552101,HOUSTON,TX,0.10321821,0.109563015,0.084459459,0.103478413
77066,2017,.,.,.,.,48201551400,HOUSTON,TX,0.128311035,0.650179856,0.634146341,0.183234302
77066,2017,.,.,.,.,48201551000,HOUSTON,TX,0.086378738,0.071043165,0.107317073,0.085354103
77067,2017,.,.,.,.,48201550402,HOUSTON,TX,0.000277213,0.044444444,0.050761421,0.004446682
77067,2017,.,.,.,.,48201550500,HOUSTON,TX,0.176677139,0.11,0.228426396,0.172497693
77068,2017,.,.,.,.,48201550401,HOUSTON,TX,0.070729271,0.17288444,0.184782609,0.090542285
77068,2017,.,.,.,.,48201553002,HOUSTON,TX,0.372227772,0.122838944,0.173913043,0.325048418
77068,2017,.,.,.,.,48201553001,HOUSTON,TX,0.497902098,0.400363967,0.445652174,0.479825694
77069,2017,-1.28,242.06,169.07,129.58,48201552900,HOUSTON,TX,0.450152705,0.464341085,0.547413793,0.453975678
77069,2017,-1.28,242.06,169.07,129.58,48201552800,HOUSTON,TX,0.494655323,0.168992248,0.189655172,0.448737138
77069,2017,-1.28,242.06,169.07,129.58,48201551400,HOUSTON,TX,0.044938918,0.25503876,0.120689655,0.071936389
77069,2017,-1.28,242.06,169.07,129.58,48201550302,HOUSTON,TX,0,0.001550388,0,0.000187091
77069,2017,-1.28,242.06,169.07,129.58,48201553001,HOUSTON,TX,0.0004363,0.031782946,0.034482759,0.004957905
77070,2017,.,346.46,198.39,151.98,48201551400,HOUSTON,TX,0,0.147868948,0.015873016,0.019667401
77070,2017,.,346.46,198.39,151.98,48201552800,HOUSTON,TX,0,0.000869817,0,0.000113904
77073,2017,.,.,.,.,48201980100,HOUSTON,TX,0,0.004004004,0,0.000246807
77073,2017,.,.,.,.,48201240702,HOUSTON,TX,0.299435404,0.347347347,0.411764706,0.303449127
77073,2017,.,.,.,.,48201240400,HOUSTON,TX,0.107273331,0.371371371,0.215686275,0.124575801
77073,2017,.,.,.,.,48201550301,HOUSTON,TX,0,0.001001001,0,6.17E-05
77073,2017,.,.,.,.,48201240701,HOUSTON,TX,0.288209897,0.138138138,0.14379085,0.2775961
77075,2017,6.36,244.25,.,175.35,48201350100,HOUSTON,TX,0.020012129,0.02893617,0.033333333,0.02089778
